epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,369.695,1.79859,2.01488,1.42285,0.68426,0.34609,0.36336,0.18878,1.67837,1.9774,1.36495,0.00128753,0.00128753,0.00128753
7,432.671,1.87148,1.98132,1.46366,0.6702,0.3906,0.36915,0.19729,1.64294,1.83714,1.33671,0.00125923,0.00125923,0.00125923
8,492.451,1.81883,2.04618,1.42236,0.6825,0.39818,0.35314,0.17911,1.74189,1.93945,1.36306,0.00123094,0.00123094,0.00123094
9,549.221,1.75855,1.8679,1.38718,0.70193,0.4234,0.40199,0.21491,1.66524,1.75508,1.33943,0.00120265,0.00120265,0.00120265
10,607.744,1.7201,1.84472,1.30719,0.39207,0.53798,0.38223,0.20573,1.65892,1.93089,1.33438,0.00117435,0.00117435,0.00117435
11,665.778,1.71788,1.73445,1.29684,0.68282,0.47128,0.43167,0.211,1.69416,1.69099,1.35278,0.00114606,0.00114606,0.00114606
12,728.25,1.78513,1.7948,1.38721,0.68442,0.4706,0.45079,0.22359,1.64162,1.54298,1.33596,0.00111776,0.00111776,0.00111776
13,790.833,1.72154,1.67422,1.35857,0.7898,0.49223,0.51612,0.26982,1.59459,1.46432,1.30962,0.00108947,0.00108947,0.00108947
14,852.669,1.673,1.65264,1.31325,0.86752,0.4296,0.51175,0.27164,1.61327,1.49367,1.31608,0.00106118,0.00106118,0.00106118
15,913.954,1.69186,1.58721,1.30028,0.81354,0.48699,0.51678,0.27223,1.60282,1.44305,1.30222,0.00103288,0.00103288,0.00103288
16,976.896,1.64277,1.57642,1.26341,0.79055,0.46249,0.50857,0.26229,1.6163,1.45904,1.28331,0.00100459,0.00100459,0.00100459
17,1037.57,1.63744,1.48363,1.26501,0.81272,0.46907,0.49742,0.24907,1.65281,1.46851,1.28951,0.000976293,0.000976293,0.000976293
18,1098.16,1.61054,1.45538,1.25836,0.83734,0.4699,0.52887,0.28316,1.59033,1.37936,1.26085,0.000947999,0.000947999,0.000947999
19,1158.61,1.58587,1.46958,1.28898,0.82508,0.4818,0.52392,0.28275,1.56572,1.37058,1.26829,0.000919704,0.000919704,0.000919704
20,1221.28,1.63311,1.52546,1.31853,0.78488,0.46813,0.49999,0.26637,1.5951,1.41136,1.29581,0.00089141,0.00089141,0.00089141
21,1295.5,1.62846,1.50757,1.29157,0.80492,0.45553,0.49825,0.26829,1.61498,1.42768,1.31498,0.000863116,0.000863116,0.000863116
22,1355.91,1.57479,1.40053,1.27409,0.78777,0.49507,0.5114,0.26746,1.63996,1.36198,1.30083,0.000834822,0.000834822,0.000834822
23,1419.4,1.60815,1.39946,1.22149,0.81243,0.51958,0.55481,0.30122,1.61965,1.3363,1.28381,0.000806528,0.000806528,0.000806528
24,1479.35,1.63021,1.36,1.27833,0.87371,0.45078,0.5558,0.30406,1.60945,1.35654,1.27756,0.000778233,0.000778233,0.000778233
25,1539.94,1.56765,1.2923,1.23433,0.84353,0.49691,0.53332,0.29316,1.60611,1.36628,1.27467,0.000749939,0.000749939,0.000749939
26,1600.12,1.56051,1.35799,1.26248,0.79815,0.53602,0.53627,0.30433,1.57339,1.32028,1.26656,0.000721645,0.000721645,0.000721645
27,1660.82,1.62196,1.37404,1.2353,0.82433,0.52678,0.53107,0.29886,1.58334,1.31798,1.2677,0.000693351,0.000693351,0.000693351
28,1720.48,1.51127,1.25333,1.21503,0.81712,0.53439,0.53559,0.29722,1.55776,1.34062,1.25445,0.000665057,0.000665057,0.000665057
29,1780.46,1.55937,1.32187,1.23129,0.87749,0.47739,0.56182,0.30268,1.55516,1.29554,1.24822,0.000636762,0.000636762,0.000636762
30,1840.92,1.5454,1.25197,1.21239,0.81313,0.52747,0.57401,0.31878,1.54319,1.23371,1.24874,0.000608468,0.000608468,0.000608468
31,1901.12,1.54769,1.25802,1.23949,0.7934,0.52762,0.56432,0.30894,1.54874,1.23336,1.25016,0.000580174,0.000580174,0.000580174
32,1962.07,1.55587,1.20408,1.23739,0.81857,0.53082,0.56699,0.31906,1.55118,1.22226,1.25667,0.00055188,0.00055188,0.00055188
